city,country,date,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,lat,lon
Vancouver,CA,2025-03-06,6.98,5.24,4.36,8.76,scattered clouds,1015,68,2.87,94,49.2497,-123.1193
Vancouver,CA,2025-03-07,6.51,3.81,4.05,8.04,overcast clouds,1022,79,4.72,88,49.2497,-123.1193
Vancouver,CA,2025-03-08,5.59,2.69,5.32,8.27,moderate rain,1020,93,5.28,86,49.2497,-123.1193
Vancouver,CA,2025-03-09,9.33,7.06,5.77,9.33,light rain,1010,75,6.65,132,49.2497,-123.1193
Vancouver,CA,2025-03-10,6.43,5.4,4.27,6.43,light rain,1012,68,3.75,277,49.2497,-123.1193
Vancouver,CA,2025-03-11,5.35,2.62,2.56,6.77,light rain,1002,79,3.86,56,49.2497,-123.1193
Vancouver,CA,2025-03-12,5.89,1.38,2.05,6.62,moderate rain,1003,76,7.85,184,49.2497,-123.1193
Vancouver,CA,2025-03-13,6.75,3.98,1.83,6.87,broken clouds,1005,59,5.9,280,49.2497,-123.1193
Vancouver,CA,2025-03-14,6.78,3.49,3.04,7.28,moderate rain,1014,68,5.4,79,49.2497,-123.1193
Vancouver,CA,2025-03-15,5.64,3.68,2.99,6.58,moderate rain,1017,95,4.37,105,49.2497,-123.1193
Vancouver,CA,2025-03-16,5.91,3.42,5.65,6.88,moderate rain,1015,90,4.18,86,49.2497,-123.1193
Vancouver,CA,2025-03-17,8.76,6.66,7.43,8.76,moderate rain,1004,93,3.63,125,49.2497,-123.1193
Vancouver,CA,2025-03-18,7.85,5.06,5.52,7.85,light rain,1017,65,8.64,280,49.2497,-123.1193
Vancouver,CA,2025-03-19,6.76,2.64,5.06,6.78,moderate rain,1024,82,7.43,143,49.2497,-123.1193
Victoria,CA,2025-03-06,7.33,7.33,3.62,8.61,scattered clouds,1016,70,3.55,288,48.4329,-123.3693
Victoria,CA,2025-03-07,8.59,6.68,3.82,8.7,overcast clouds,1021,65,3.35,162,48.4329,-123.3693
Victoria,CA,2025-03-08,6.05,4.35,5.39,8.55,light rain,1019,92,2.54,11,48.4329,-123.3693
Victoria,CA,2025-03-09,11.75,10.68,4.94,11.75,moderate rain,1009,65,9.26,253,48.4329,-123.3693
Victoria,CA,2025-03-10,8.22,5.95,3.79,8.22,overcast clouds,1012,53,7.03,253,48.4329,-123.3693
Victoria,CA,2025-03-11,6.31,4.15,4.4,7.93,light rain,1001,72,2.9,88,48.4329,-123.3693
Victoria,CA,2025-03-12,8.18,4.29,3.42,8.18,light rain,1003,63,8.07,237,48.4329,-123.3693
Victoria,CA,2025-03-13,7.08,6.07,2.21,7.08,broken clouds,1005,58,3.24,267,48.4329,-123.3693
Victoria,CA,2025-03-14,7.48,5.03,2.62,7.93,moderate rain,1013,61,4.67,116,48.4329,-123.3693
Victoria,CA,2025-03-15,6.51,5.81,4.27,8.45,light rain,1017,90,2.86,202,48.4329,-123.3693
Victoria,CA,2025-03-16,6.86,5.24,6.19,7.86,light rain,1015,94,5.07,120,48.4329,-123.3693
Victoria,CA,2025-03-17,11.02,10.42,7.35,11.02,light rain,1003,86,4.75,253,48.4329,-123.3693
Victoria,CA,2025-03-18,9.41,5.76,5.93,9.41,light rain,1018,55,8.59,269,48.4329,-123.3693
Victoria,CA,2025-03-19,7.75,7.75,5.09,8.29,moderate rain,1023,80,3.91,244,48.4329,-123.3693
Calgary,CA,2025-03-06,2.56,0.56,-3.07,5.81,sky is clear,1010,63,2.53,270,51.0501,-114.0853
Calgary,CA,2025-03-07,5.12,3.38,-1.93,7.43,few clouds,1008,36,3.72,273,51.0501,-114.0853
Calgary,CA,2025-03-08,9.11,6.18,-0.12,11.19,overcast clouds,1006,41,5.95,269,51.0501,-114.0853
Calgary,CA,2025-03-09,6.04,3.77,-0.1,10.84,overcast clouds,1006,51,3.27,3,51.0501,-114.0853
Calgary,CA,2025-03-10,-4.86,-11.86,-6.14,7.13,snow,1009,61,10.94,247,51.0501,-114.0853
Calgary,CA,2025-03-11,-4.8,-10.45,-7.5,-1.59,light snow,1007,76,4.79,139,51.0501,-114.0853
Calgary,CA,2025-03-12,-4.86,-9.53,-6.68,-3.21,light snow,1009,86,5.89,115,51.0501,-114.0853
Calgary,CA,2025-03-13,-6.01,-11.23,-9.37,-4.03,overcast clouds,1010,76,3.75,51,51.0501,-114.0853
Calgary,CA,2025-03-14,-6.09,-9.94,-8.64,-2.94,light snow,1012,81,3.12,137,51.0501,-114.0853
Calgary,CA,2025-03-15,-2.57,-2.57,-8.65,-0.16,overcast clouds,1012,79,2.27,120,51.0501,-114.0853
Calgary,CA,2025-03-16,1.94,0.14,-6.29,5.12,overcast clouds,1018,62,1.99,266,51.0501,-114.0853
Calgary,CA,2025-03-17,6.25,3.44,-0.2,10.61,overcast clouds,1004,62,4.04,262,51.0501,-114.0853
Calgary,CA,2025-03-18,1.78,-3.43,-0.62,2.96,overcast clouds,999,87,7.8,355,51.0501,-114.0853
Calgary,CA,2025-03-19,4.42,1.45,-0.91,8.04,broken clouds,1015,58,4.06,236,51.0501,-114.0853
Edmonton,CA,2025-03-06,1.49,-1.81,-6.08,2.57,few clouds,1010,76,3.26,258,53.5501,-113.4687
Edmonton,CA,2025-03-07,2.39,-0.29,-3.01,3.89,overcast clouds,1008,75,3.18,252,53.5501,-113.4687
Edmonton,CA,2025-03-08,4.63,2.76,-0.69,5.63,few clouds,1008,63,2.84,217,53.5501,-113.4687
Edmonton,CA,2025-03-09,1.26,-3.18,-0.64,2.31,overcast clouds,1010,71,5.33,145,53.5501,-113.4687
Edmonton,CA,2025-03-10,-11.08,-18.08,-11.17,-0.45,light snow,1014,69,8.23,337,53.5501,-113.4687
Edmonton,CA,2025-03-11,-8.19,-14.41,-9.99,-6.43,light snow,1013,74,4.09,109,53.5501,-113.4687
Edmonton,CA,2025-03-12,-7.25,-13.81,-9.25,-6.38,snow,1015,75,5.69,94,53.5501,-113.4687
Edmonton,CA,2025-03-13,-7.93,-12.78,-10.28,-6.84,snow,1014,83,3.64,83,53.5501,-113.4687
Edmonton,CA,2025-03-14,-7.01,-11.33,-9.33,-5.16,light snow,1015,89,2.5,133,53.5501,-113.4687
Edmonton,CA,2025-03-15,-5.46,-7.79,-12.17,-2.98,overcast clouds,1016,85,2.03,148,53.5501,-113.4687
Edmonton,CA,2025-03-16,-1.64,-1.64,-9.4,0.14,scattered clouds,1020,85,2.77,82,53.5501,-113.4687
Edmonton,CA,2025-03-17,-2.06,-6.97,-5.3,0.06,overcast clouds,1010,85,4.51,119,53.5501,-113.4687
Edmonton,CA,2025-03-18,-2.24,-7.09,-3.27,0.17,light snow,1002,91,6.01,330,53.5501,-113.4687
Edmonton,CA,2025-03-19,1.03,-2.78,-6.05,2.86,light rain,1017,77,5.11,163,53.5501,-113.4687
Regina,CA,2025-03-06,-8.31,-13.04,-17.4,-4.03,few clouds,1017,91,3.23,229,50.4501,-104.6178
Regina,CA,2025-03-07,-1.91,-6.56,-11.54,0.25,overcast clouds,1011,88,4.14,265,50.4501,-104.6178
Regina,CA,2025-03-08,-1,-3.99,-10.63,0.37,broken clouds,1015,87,3.69,164,50.4501,-104.6178
Regina,CA,2025-03-09,-0.91,-5.05,-4.26,-0.17,broken clouds,1014,90,5.09,132,50.4501,-104.6178
Regina,CA,2025-03-10,5.04,-0.34,-14.19,5.04,light snow,991,78,11.94,286,50.4501,-104.6178
Regina,CA,2025-03-11,-13.66,-18.7,-17.33,-11.99,overcast clouds,1019,79,3.72,343,50.4501,-104.6178
Regina,CA,2025-03-12,-7.91,-14.91,-14.45,-5.87,overcast clouds,1017,89,5.39,104,50.4501,-104.6178
Regina,CA,2025-03-13,-2.93,-7.83,-6.3,-1.55,light snow,1007,87,6.26,119,50.4501,-104.6178
Regina,CA,2025-03-14,-6.54,-13.21,-7.92,-5.39,snow,1011,93,6.44,61,50.4501,-104.6178
Regina,CA,2025-03-15,-7.04,-12.82,-10.82,-5.82,light snow,1015,89,5.65,339,50.4501,-104.6178
Regina,CA,2025-03-16,-7.69,-13.01,-12.59,-5.95,overcast clouds,1026,92,4.44,333,50.4501,-104.6178
Regina,CA,2025-03-17,-2.64,-8.4,-9.94,-0.88,overcast clouds,1015,89,6.36,118,50.4501,-104.6178
Regina,CA,2025-03-18,-0.46,-6.54,-3.73,0.79,overcast clouds,1000,94,7.08,127,50.4501,-104.6178
Regina,CA,2025-03-19,-4.03,-10.8,-6.27,-1.25,light snow,1023,91,10.25,317,50.4501,-104.6178
Saskatoon,CA,2025-03-06,-6.65,-13.4,-15.17,-2.29,few clouds,1013,85,5.52,235,52.1168,-106.6345
Saskatoon,CA,2025-03-07,0.05,-4.13,-10.27,1.21,few clouds,1009,96,4.96,251,52.1168,-106.6345
Saskatoon,CA,2025-03-08,0.61,-2.6,-7,1.32,few clouds,1012,99,3.85,209,52.1168,-106.6345
Saskatoon,CA,2025-03-09,-2,-6.15,-4.83,-1.68,overcast clouds,1015,77,5.59,116,52.1168,-106.6345
Saskatoon,CA,2025-03-10,-5.32,-12.32,-13.85,-4.65,light snow,996,92,9.04,347,52.1168,-106.6345
Saskatoon,CA,2025-03-11,-13.23,-18.86,-17.08,-10.89,scattered clouds,1019,77,3.78,77,52.1168,-106.6345
Saskatoon,CA,2025-03-12,-10.89,-17.89,-14.54,-8.98,overcast clouds,1020,76,5.61,83,52.1168,-106.6345
Saskatoon,CA,2025-03-13,-6.23,-12.99,-9.89,-5.16,light snow,1011,87,6.54,49,52.1168,-106.6345
Saskatoon,CA,2025-03-14,-8.99,-15.96,-11.84,-7.18,light snow,1016,89,5.62,49,52.1168,-106.6345
Saskatoon,CA,2025-03-15,-7.68,-12.15,-12.28,-6.06,light snow,1017,87,3.19,13,52.1168,-106.6345
Saskatoon,CA,2025-03-16,-6.01,-8.65,-14.31,-3.11,broken clouds,1025,85,3.02,297,52.1168,-106.6345
Saskatoon,CA,2025-03-17,-4.18,-10.35,-9.85,-2.14,overcast clouds,1016,84,6.27,99,52.1168,-106.6345
Saskatoon,CA,2025-03-18,-1.43,-7.68,-5.67,0.21,light snow,999,91,6.84,118,52.1168,-106.6345
Saskatoon,CA,2025-03-19,-4.11,-10.17,-6.87,-1.6,light snow,1023,82,7.42,322,52.1168,-106.6345
Winnipeg,CA,2025-03-06,-6.93,-13.93,-12.6,-4.95,few clouds,1015,67,6.63,316,49.8844,-97.147
Winnipeg,CA,2025-03-07,-5.55,-9.11,-11,-3.49,light snow,1012,85,2.51,180,49.8844,-97.147
Winnipeg,CA,2025-03-08,-1.78,-7.04,-8.22,-1.17,light snow,1012,84,4.85,318,49.8844,-97.147
Winnipeg,CA,2025-03-09,1.59,-3.52,-7.34,1.59,overcast clouds,1004,86,8.15,319,49.8844,-97.147
Winnipeg,CA,2025-03-10,0.51,-5.15,-7.66,4.53,overcast clouds,998,75,9.99,273,49.8844,-97.147
Winnipeg,CA,2025-03-11,-12.36,-19.36,-14.98,-10.62,overcast clouds,1018,59,10.81,310,49.8844,-97.147
Winnipeg,CA,2025-03-12,-9.31,-13.33,-12.99,-7.13,overcast clouds,1023,55,2.32,48,49.8844,-97.147
Winnipeg,CA,2025-03-13,-2.79,-7.57,-9.75,0.21,overcast clouds,1015,56,5.08,65,49.8844,-97.147
Winnipeg,CA,2025-03-14,-0.91,-6.91,-4.03,2.15,overcast clouds,1007,76,7.71,48,49.8844,-97.147
Winnipeg,CA,2025-03-15,-2.69,-9.64,-3.91,-1,snow,1001,94,9.82,2,49.8844,-97.147
Winnipeg,CA,2025-03-16,-7.68,-14.68,-10.35,-4.43,light snow,1013,87,9.84,345,49.8844,-97.147
Winnipeg,CA,2025-03-17,-4.35,-8.22,-12.8,-3.33,broken clouds,1023,83,2.54,222,49.8844,-97.147
Winnipeg,CA,2025-03-18,-0.3,-5.64,-7.64,0.59,overcast clouds,1011,83,6.34,109,49.8844,-97.147
Winnipeg,CA,2025-03-19,-0.18,-4.56,-5.22,-0.18,snow,1009,100,8.72,316,49.8844,-97.147
Toronto,CA,2025-03-06,-3.32,-10.29,-3.32,2.94,rain and snow,996,77,7.88,295,43.7001,-79.4163
Toronto,CA,2025-03-07,0.84,-4.67,-3.48,1.16,scattered clouds,1006,50,7,275,43.7001,-79.4163
Toronto,CA,2025-03-08,-1.51,-7.16,-5.67,0.5,sky is clear,1011,45,6.04,289,43.7001,-79.4163
Toronto,CA,2025-03-09,1.28,-2.34,-1.88,1.54,broken clouds,1010,51,3.48,296,43.7001,-79.4163
Toronto,CA,2025-03-10,3.88,-0.4,-0.11,3.88,overcast clouds,1009,54,6.83,298,43.7001,-79.4163
Toronto,CA,2025-03-11,10.2,8.95,0,12.25,overcast clouds,1002,64,6,229,43.7001,-79.4163
Toronto,CA,2025-03-12,0.28,-2.76,-1.22,0.72,snow,1017,48,4.91,333,43.7001,-79.4163
Toronto,CA,2025-03-13,0.83,-1.79,-1.18,0.99,light snow,1018,73,3.03,78,43.7001,-79.4163
Toronto,CA,2025-03-14,3.17,0.58,-0.61,4.19,broken clouds,1015,57,2.87,99,43.7001,-79.4163
Toronto,CA,2025-03-15,4.19,-0.23,1.41,7.93,light rain,1012,81,7.43,85,43.7001,-79.4163
Toronto,CA,2025-03-16,12.48,11.27,6.92,12.48,moderate rain,995,57,7.47,214,43.7001,-79.4163
Toronto,CA,2025-03-17,2.92,-1.03,-1.59,5.4,rain and snow,999,75,6.77,319,43.7001,-79.4163
Toronto,CA,2025-03-18,-1.05,-6.9,-4.95,-0.45,light snow,1021,32,6.23,304,43.7001,-79.4163
Toronto,CA,2025-03-19,-0.18,-5.16,-2.83,0.96,overcast clouds,1027,50,5.82,92,43.7001,-79.4163
Ottawa,CA,2025-03-06,3.43,-0.96,-8.07,4.77,rain and snow,989,86,7.31,282,45.4112,-75.6981
Ottawa,CA,2025-03-07,-2.82,-9.82,-8.03,-1.34,light snow,999,77,8.07,283,45.4112,-75.6981
Ottawa,CA,2025-03-08,-5.42,-12.42,-9.57,-3.1,overcast clouds,1003,81,8.7,287,45.4112,-75.6981
Ottawa,CA,2025-03-09,-3.98,-10.08,-13.39,-3.13,overcast clouds,1009,73,5.4,288,45.4112,-75.6981
Ottawa,CA,2025-03-10,-0.41,-4.25,-11.38,0.16,snow,1003,100,6.51,323,45.4112,-75.6981
Ottawa,CA,2025-03-11,0.8,-3,-13.1,3.28,overcast clouds,1002,98,5.9,273,45.4112,-75.6981
